区分,内訳
1日平均取扱高(平成28年),(2)水産物：1541トン：16億1千4百万円/日：(2)青果物：985トン：3億4千2百万円/日
1日の入場人員(平成14.11.28～29調査),41964人/日・市場勤務者14089人・買出人等27875人
1日の入場車両数(平成17.9.4～5調査),18657台/日・大型貨物(5トン以上)1156台・中型貨物(2トン以上5トン未満)3726台・小型貨物(2トン未満)2825台・乗用車(ライトバン)4908台・軽自動車2404台・バス102台・タクシー208台・バイク3328台
ターレット車等台数(平成28年度末),ターレット車：2118台(うち電動車1963台)：フォーク車：472台(うち電動車276台)
1日の廃棄物量(平成28年度),(1)水産物部：57トン/日(可燃ごみ：28トン、不燃ごみ：21トン、発泡8トン)(2)青果部：8トン/日(可燃ごみ：7トン、不燃ごみ：1トン)※発泡は溶融製品重量トンである。
1日の水使用量(平成28年度),約8300m3/日・上水4900m3(推定)・ろ過海水3430m3※海水をろ過・滅菌する自家用水造成設備(高速沈殿装置・急速ろ過装置等4800m3/日)を設置し、床洗浄水として利用している。
1日の電気使用量(平成28年度),約128500Kwh/日
桟橋,長さ366m(うち仮設新桟橋165m)幅18m※隅田川河口に面しており、50トン～200トン級の漁船の接岸が可能である。※平成28年中の接岸実績は70隻で、築地市場水産物取扱量409867トン中、約62トンである。
製氷設備,180トン/日・自動製氷(砕氷)80トン・角氷100トン※自動製氷は場内2ヶ所にある自動製氷設備で製氷している。※角氷は民間冷蔵庫2社で製氷している。
電気設備,(1)契約電力10600kw・特別高圧季時別特別電力A：9600Kw・特別高圧季時別特別電力B(冷蔵庫等)1000Kw(2)受変電設備41ヶ所
電話設備,構内交換設備：内線数：991回線
給排水衛生設備,(1)給水管路(75mm以上)延長：約8500m：(2)給水揚水ポンプ：45台：(3)排水管路(150mm以上)延長：約23400rn：(4)排水ポンプ：71台(5)便所266ヶ所※汚水は場内2ヶ所(3000m3及び800m3)に一時貯留し、汚物等を除去後、排水ポンプにより公共下水道に放流している。
昇降機(都有),(1)乗用エレベータ：7台(2)貨物用エレベータ：22台
見学者数(平成28年),東京都受付見学者数：合計33799人(・外国人22829人・一般10255人・小学生715人)
事故取扱件数(平成28年),(1)拾得届(物件662件、現金147件2840千円)(2)被害届(物件71件11780千円、現金4件257千円)(3)紛失届(物件123件、現金48件2743千円)(4)交通事故(物件241件、人身116件)
主な使用料収入(平成28年度),(1)施設使用料2574771千円(2)売上高割使用料1356683千円・卸売業者水産(1073303千円)青果(219466千円)・仲卸業者水産(27499千円)青果(32246千円)・関連事業者(4167千円)
