区分,濃度確認29箇所／5月～8月採水,（参考）第９回地下水モニタリング結果
ベンゼン（mg/L）,1.0～1.2,0.79
シアン（mg/L）,1.4～1.5,1.2
ヒ素（mg/L）,0.023～0.033,0.038
