区分,科目,２７年度当初予算額(千円),２６年度当初予算額(千円),増減(千円)
収益的収支／収入／営業収益,売上高割使用料,3335050,3106162,228888
収益的収支／収入／営業収益,施設使用料,8525950,8535838,-9888
収益的収支／収入／営業収益,雑収益,4176946,3692718,484228
収益的収支／収入／営業収益,計,16037946,15334718,703228
収益的収支／収入／営業外収益,一般会計補助金,3443000,2475000,968000
収益的収支／収入／営業外収益,受取利息その他,1561054,1341282,219772
収益的収支／収入／営業外収益,計,5004054,3826282,1187772
収益的収支／収入／特別利益,,0,1146000,-1146000
収益的収支／収入／合計,,21042000,20297000,745000
収益的収支／支出／営業費用,管理費,15484855,12804379,2680476
収益的収支／支出／営業費用,業務費,164348,175856,-11508
収益的収支／支出／営業費用,減価償却費等,5683893,5611988,71905
収益的収支／支出／営業費用,計,21333096,18592223,2740873
収益的収支／支出／営業外費用,生鮮食料品流通対策費,1546945,764003,800942
収益的収支／支出／営業外費用,支払利息及企業債取扱諸費,206929,229220,-22291
収益的収支／支出／営業外費用,繰延勘定償却等,48030,175109,-127079
収益的収支／支出／営業外費用,計,1819904,1168332,651572
収益的収支／支出／予備費,,1000,1000,0
収益的収支／支出／特別損失,,0,3108445,-3108445
収益的収支／支出／合計,,23154000,22870000,284000
収益的収支／収支差引額,,-2112000,-2573000,461000
資本的収支／収入／企業債,,183633000,28652000,154981000
資本的収支／収入／一般会計出資金,,0,0,0
資本的収支／収入／国庫補助金,,22824000,3101000,19723000
資本的収支／収入／その他資本収入,,3793000,1993000,1800000
資本的収支／収入／計,,210250000,33746000,176504000
資本的収支／支出／建設改良費,,229686399,42147457,187538942
資本的収支／支出／企業債償還金,,14554000,3226000,11328000
資本的収支／支出／投資,,2734058,1007000,1727058
資本的収支／支出／国庫補助金返納金等,,9543,9543,0
資本的収支／支出／計,,246984000,46390000,200594000
資本的収支／収支差引額,,-36734000,-12644000,-24090000

