順位,野菜／品目,野菜／外国産（トン）,野菜／国内産（トン）,野菜／外国産の占める割合(%),くだ物／品目,くだ物／外国産（トン）,くだ物／国内産（トン）,くだ物／外国産の占める割合(%)
1位,かぼちゃ,17695,23974,42.5,バナナ,46323,15,100
2位,ジャンボピーマン,3434,1547,68.9,グレープフルーツ,9535,3,100
3位,ブロッコリー,3364,21686,13.4,パイン,4761,79,98.4
