"年度[西暦]","事項","予算現額[千円]","支出済額[千円]","執行率[%]","予算現額 対前年度増減率[%]","支出済額 対前年度増減率[%]"
"2018","かがやくまち","28277857","27382376","96.8","-53.9","-54.8"
"2018","にぎわうまち","4136216","3920048","94.8","22.0","21.7"
"2018","はぐくむまち","75884042","73472889","96.8","-11.1","-11.1"
"2018","実現をめざして","34555922","33491704","96.9","16.4","17.9"
"2018","合計","142854037","138267016","96.8","-20.5","-20.9"
"2019","かがやくまち","31759946","30793740","97.0","12.3","12.5"
"2019","にぎわうまち","5067533","4454577","87.9","22.5","13.6"
"2019","はぐくむまち","82427776","80311741","97.4","8.6","9.3"
"2019","実現をめざして","35890835","34440146","96.0","3.9","2.8"
"2019","合計","155146090","150000205","96.7","8.6","8.5"
"2020","かがやくまち","26552380","25378970","95.6","-16.4","-17.6"
"2020","にぎわうまち","9225461","6917352","75.0","82.1","55.3"
"2020","はぐくむまち","85573335","79737218","93.2","3.8","-0.7"
"2020","実現をめざして","61685277","59081701","95.8","71.9","71.5"
"2020","合計","183036453","171115241","93.5","18.0","14.1"
"2021","かがやくまち","26441638","25662281","97.1","-0.4","1.1"
"2021","にぎわうまち","15838675","14316679","90.4","71.7","107.0"
"2021","はぐくむまち","107309393","101085515","94.2","25.4","26.8"
"2021","実現をめざして","42012564","40020630","95.3","-31.9","-32.3"
"2021","合計","191602269","181085105","94.5","4.7","5.8"
"2022","かがやくまち","31145606","30004635","96.3","17.8","16.9"
"2022","にぎわうまち","7218460","6568713","91.0","-54.4","-54.1"
"2022","はぐくむまち","109067834","104617297","95.9","1.6","3.5"
"2022","実現をめざして","32677347","30971791","94.8","-22.2","-22.6"
"2022","合計","180109247","172162437","95.6","-6.0","-4.9"

"令和5年度港区行政資料集　基本施策事項別決算額","Ver202303",,,,,
