取扱所名称,所在地
高崎屋田中英太郎商店,両国二丁目11番4号
ぶんぐのふくや,緑一丁目14番8号
菊地米店,緑二丁目21番3号
藤本春吉商店,立川三丁目1番14号
吉良屋　牧酒店,横網二丁目11番7号
田村酒店,亀沢三丁目18番7号
平和堂,石原一丁目29番15号
稲垣商店,石原二丁目16番12号
福助,石原三丁目25番7号
ヘアーサロンみどり,石原四丁目9番10号
山下ビジネス,石原四丁目26番14号
駒形軒,東駒形二丁目9番8号
全東栄興業,横川二丁目10番3号
細田商店,横川四丁目9番10号
フードショップ・エンドウ,業平一丁目9番4号
下田電気商会,向島二丁目18番7号
ナカヤ,向島二丁目21番10号
新聞センター,向島三丁目1番3号
長谷川梱包資材,向島三丁目34番11号
大塚商店,向島五丁目48番12号
野谷酒店,東向島一丁目15番11号
スズキストアー,東向島一丁目23番13号
なかむら,東向島二丁目28番3号
新光給油所,東向島二丁目47番12号
橋本商店,東向島二丁目49番14号
岩田屋商店,東向島四丁目43番6号
サンショー,墨田一丁目14番23号
大畑タバコ店,墨田一丁目15番18号
太晃,墨田二丁目5番13号
フードショップかねまつ,墨田二丁目12番9号
伊勢元商店,押上一丁目26番10号
金川商店,押上一丁目38番5号
半田酒店,押上二丁目12番7号101号室
イトーヨーカドー曳舟店,京島一丁目2番1号
伊勢元酒店,京島三丁目22番12号
日の出屋酒店,八広一丁目37番10号
トウワ商会,八広三丁目38番9号
木屋酒店,八広四丁目20番2号
伊勢岩商店,八広六丁目52番17号
今井薬局,立花一丁目12番6号
リカーショップヤマト,立花一丁目23番2号107号室
飯塚商店,立花三丁目26番8号
橋本パッケージ,立花四丁目13番3号
大塚商店,東墨田三丁目9番3号
行方商店,堤通二丁目3番28号
