 1-(4)海上出入貨物航路別表,,,,,,,,,,,,(単位：トン）
航路別,合計,,,,,,コンテナ船計,,,,,
,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨
合計,"7,513,819","2,484,201","5,029,618","43,775,137","13,676,553","30,098,584","5,134,219","1,755,931","3,378,288","29,574,101","9,630,149","19,943,952"
外航計,"4,134,598","1,162,097","2,972,501","23,790,483","6,180,756","17,609,727","4,035,825","1,110,508","2,925,317","23,200,766","5,922,894","17,277,872"
外航定期計,"4,035,825","1,110,508","2,925,317","23,200,766","5,922,894","17,277,872","4,035,825","1,110,508","2,925,317","23,200,766","5,922,894","17,277,872"
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"498,267","106,947","391,320","3,103,967","917,905","2,186,062","498,267","106,947","391,320","3,103,967","917,905","2,186,062"
北米東岸(カリビア海含む),"118,001","63,344","54,657","786,226","335,988","450,238","118,001","63,344","54,657","786,226","335,988","450,238"
北欧・地中海,"316,168","215,223","100,945","1,764,891","897,970","866,921","316,168","215,223","100,945","1,764,891","897,970","866,921"
南米西岸,"42,777","4,992","37,785","240,406","29,247","211,159","42,777","4,992","37,785","240,406","29,247","211,159"
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"22,968","2,343","20,625","151,100","15,391","135,709","22,968","2,343","20,625","151,100","15,391","135,709"
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,-,-,-
東南アジア,"1,729,090","471,061","1,258,029","10,048,638","2,481,107","7,567,531","1,729,090","471,061","1,258,029","10,048,638","2,481,107","7,567,531"
台湾,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"163,013","45,631","117,382","929,587","250,642","678,945","163,013","45,631","117,382","929,587","250,642","678,945"
中国(香港含む),"1,145,541","200,967","944,574","6,175,951","994,644","5,181,307","1,145,541","200,967","944,574","6,175,951","994,644","5,181,307"
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,"98,773","51,589","47,184","589,717","257,862","331,855",-,-,-,-,-,-
内航計,"3,379,221","1,322,104","2,057,117","19,984,654","7,495,797","12,488,857","1,098,394","645,423","452,971","6,373,335","3,707,255","2,666,080"
内航定期計,"2,078,762","1,144,720","934,042","11,990,477","6,586,070","5,404,407","1,089,998","637,027","452,971","6,300,332","3,642,564","2,657,768"
北海道,"383,272","215,963","167,309","2,294,672","1,291,636","1,003,036","383,272","215,963","167,309","2,294,672","1,291,636","1,003,036"
東北,"29,153","15,155","13,998","194,433","105,679","88,754","22,337","11,067","11,270","187,617","101,591","86,026"
関東,"52,491","18,934","33,557","283,519","135,809","147,710",-,-,-,442,-,442
伊豆諸島,"4,462","3,096","1,366","42,751","28,472","14,279",-,-,-,"4,344","3,173","1,171"
中部,"32,581","5,414","27,167","142,120","32,059","110,061","32,581","5,414","27,167","142,120","32,059","110,061"
近畿,-,-,-,"58,361","7,044","51,317",-,-,-,"58,361","7,044","51,317"
中国,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
九州,"1,454,965","793,390","661,575","8,279,973","4,465,669","3,814,304","529,970","311,815","218,155","2,918,128","1,687,359","1,230,769"
沖縄,"121,838","92,768","29,070","694,648","519,702","174,946","121,838","92,768","29,070","694,648","519,702","174,946"
内航不定期,"1,300,459","177,384","1,123,075","7,994,177","909,727","7,084,450","8,396","8,396",-,"73,003","64,691","8,312"
,,,,,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
