（輸出）,, 5-(1)外貿貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"1,162,097",95.0%,"6,180,756",94.5%,100.0%
1,中国,"288,403",78.3%,"1,540,792",88.8%,24.9%
,(香港),"37,201",86.1%,"206,683",85.3%,3.3%
2,アメリカ,"278,502",112.6%,"1,500,898",112.0%,24.3%
3,ベトナム,"86,954",97.4%,"451,330",105.4%,7.3%
4,タイ,"82,332",92.5%,"412,795",84.0%,6.7%
5,韓国,"77,430",142.1%,"337,552",97.3%,5.5%
6,台湾,"56,329",89.1%,"284,725",83.5%,4.6%
7,オランダ,"38,873",99.2%,"237,619",89.6%,3.8%
8,マレーシア,"37,666",74.6%,"215,030",82.8%,3.5%
9,インドネシア,"37,590",98.6%,"188,791",92.9%,3.1%
10,インド,"24,932",110.6%,"177,661",111.1%,2.9%
11,ドイツ,"20,545",87.3%,"119,078",104.4%,1.9%
12,フィリピン,"21,444",88.5%,"112,580",84.9%,1.8%
13,シンガポール,"20,354",93.4%,"108,102",93.7%,1.7%
14,イギリス,"11,115",85.0%,"69,201",76.8%,1.1%
15,カナダ,"10,190",90.6%,"68,490",91.2%,1.1%
16,ロシア,"11,796",117.6%,"48,258",97.3%,0.8%
17,アラブ首長国,"6,786",96.6%,"33,262",86.2%,0.5%
18,ブラジル,"5,713",97.1%,"31,889",83.4%,0.5%
19,フランス,"4,586",90.1%,"28,055",80.9%,0.5%
20,オーストラリア,"4,450",108.6%,"23,202",87.8%,0.4%
,その他,"36,107",101.5%,"191,446",75.5%,3.1%
,,,,,,
