 2-(5)カーフェリー輸送状況,,,,,,（単位：隻、総トン、トン、台、人）,
,,,合計,,九州,,
,,,当月,1月以降累計,当月,1月以降累計,
入港船舶,隻数,,30,171,30,171,
,総トン数,,"379,080","2,160,756","379,080","2,160,756",
取扱貨物,計,計,"924,995","5,361,845","924,995","5,361,845",
,,出荷,"481,575","2,778,310","481,575","2,778,310",
,,入荷,"443,420","2,583,535","443,420","2,583,535",
取　扱　台　数,バ　ス,計,12,49,12,49,
,,出荷,3,20,3,20,
,,入荷,9,29,9,29,
,トラック,計,"8,517","48,498","8,517","48,498",
,,出荷,"4,513","25,404","4,513","25,404",
,,入荷,"4,004","23,094","4,004","23,094",
,乗用車,計,"4,655","31,456","4,655","31,456",
,,出荷,"2,828","18,748","2,828","18,748",
,,入荷,"1,827","12,708","1,827","12,708",
乗降人員,計,,"2,568","18,741","2,568","18,741",
,乗船,,"1,403","9,848","1,403","9,848",
,降船,,"1,165","8,893","1,165","8,893",
,,,,,,,
（注）カーフェリー（自動車航送船）による貨物量は車両区分別に台数を調整し,,,,,,,
　　　所定の換算トンをかけて算出しています。,,,,,,,
