総合設計の種類,総合設計の種類,Ｋx
一般型総合設計,一般型総合設計,1
住宅供給促進型総合設計,国際ビジネス交流ゾーン内の中核的な拠点地区、中核的な拠点周辺地区、活力とにぎわいの拠点地区,3
住宅供給促進型総合設計,上記以外の中枢広域拠点域内,2.5
住宅供給促進型総合設計,中枢広域拠点域外,2.0
共同住宅建替誘導型総合設計,国際ビジネス交流ゾーン内の中核的な拠点地区、中核的な拠点周辺地区、活力とにぎわいの拠点地区,6
共同住宅建替誘導型総合設計,上記以外の中枢広域拠点域内,5
共同住宅建替誘導型総合設計,中枢広域拠点域外,4
