区名,建築物の被害状況
江東区,・鉄骨造２階建てなどで、建築物の傾きが発生/土間に沈下や亀裂損傷が発生
江東区,・木造３階建てで、建築物の傾きが発生
足立区,・木造２階建てで、建築物の傾きが発生
葛飾区,・木造２階建てなどで、建築物の傾きが発生/土間に亀裂損傷が発生、建築物の基礎に亀裂が発生
江戸川区,・木造２階建てなどで、建築物の傾きが発生/鉄骨造平屋建てで、基礎が沈下
墨田区,・木造２階建てなどで、建築物の傾きが発生
