用途地域,道路幅員(m)
第一種低層住居専用地域、第二種低層住居専用地域、第一種中高層住居専用地域、第二種中高層住居専用地域、第一種住居地域、第二種住居地域、準住居地域、田園住居地域及び準工業地域,6
近隣商業地域、商業地域、工業地域及び工業専用地域,8
