東京湾北部地震（マグニチュード7.3）,全壊,半壊,計
(1)平成１８年度の被害想定（棟）,13356,11529,24885
(2)平成２４年度の被害想定（棟）,1134,63045,64179
(1)に対する(2)の比率（％）,8.49（％）,5.47（倍）,2.58（倍）
