市民緑地,指定のメリット
所有者,＊契約期間が20年以上等の要件に該当する場合は、相続税が2割評価減となります．
所有者,＊土地を自治体に無償で賃し何けた場合には、土地の固定資産税及び都市計画税の100%が減免となります．
所有者,＊所有者に代わって自治体等が緑地管理を行うことができます．※条例等の運用により自治体に代わって市民団体が管理を代行することもできます。
