用途地域,計画建築物の高さ,備考
第一種低層住居専用地域、第二種低層住居専用地域及び田園住居地域,法第55条第１項に規定する高さを超えるもの,その他周辺状況、建物特性等により必要と認められる建築物
商業地域,100ｍ以上,その他周辺状況、建物特性等により必要と認められる建築物
上記以外の用途地域,45ｍ以上,その他周辺状況、建物特性等により必要と認められる建築物
