地区,番号,名称,位置,規模,用途,完了時期,事業主体,みどりに関すること,まちづくりの手法
有明北／豊洲,3/短期（おおむねH22年度までに完成するもの）,３区域Ａ街区（有明南地区）,江東区有明三,約10200m2,業務・商業複合ビル,,,壁面の位置の制限,有明南地区地区計画再開発等促進区
有明北／豊洲,4/短期（おおむねH22年度までに完成するもの）,３区域Ｉ街区（有明南地区）,江東区有明三,約6200m2,宿泊施設、業務支援施設,,,壁面の位置の制限,有明南地区地区計画再開発等促進区
有明北／豊洲,5/短期（おおむねH22年度までに完成するもの）,３区域Ｇ－１街区（有明南地区）,江東区有明三,約11200m2,オフィス・商業複合ビル,,,壁面の位置の制限,有明南地区地区計画再開発等促進区
有明北／豊洲,6/中期（おおむねH27年度までに完成するもの）,,江東区有明三,約13000m2,大学,,,,有明南地区地区計画再開発等促進区
有明北／豊洲,8/短期（おおむねH22年度までに完成するもの）,３区域３－３－Ａ街区,江東区有明二,約7400m2,短期大学,,,歩道状空地、緑地/壁面の位置の制限,有明北地区地区計画再開発等促進区
有明北／豊洲,9/短期（おおむねH22年度までに完成するもの）,３区域３－３－Ｂ街区,江東区有明二,約9000m2,大学,,,歩道状空地、緑地/壁面の位置の制限,有明北地区地区計画再開発等促進区
有明北／豊洲,10/短期（おおむねH22年度までに完成するもの）,（仮称）有明小・中学校,江東区有明二,約19500m2,小・中学校,H23年度開校,江東区,緑地、歩道状空地、壁面の位置の制限,有明北地区地区計画再開発等促進区
有明北／豊洲,11/短期（おおむねH22年度までに完成するもの）,２区域２－８－Ａ街区,江東区有明一,約10000m2,共同住宅,,,歩道状空地、地区広場（約1000m2）、壁面の位置の制限,有明北地区地区計画再開発等促進区
有明北／豊洲,12/短期（おおむねH22年度までに完成するもの）,２区域２－３－Ａ街区,江東区有明一,約19600m2,共同住宅,,,歩道状空地、地区広場（約1100m2）、壁面の位置の制限,有明北地区地区計画再開発等促進区
有明北／豊洲,13/短期（おおむねH22年度までに完成するもの）,２区域２－３－Ｂ街区,江東区有明一,約18300m2,共同住宅、店舗等,,,"歩道状空地、地区広場（約1,700m2）、壁面の位置の制限",有明北地区地区計画再開発等促進区
有明北／豊洲,17/長期（現時点で完了時期が未定のもの）,公園１号,江東区有明,約24000m2,公園（2号施設）,,,,有明北地区地区計画再開発等促進区
有明北／豊洲,18/長期（現時点で完了時期が未定のもの）,１区域/雨水ポンプ場街区,江東区有明,約5500m2m2,雨水ポンプ場,,東京都下水道局,歩道状空地、緑地、壁面の位置の制限,有明北地区地区計画再開発等促進区
有明北／豊洲,19/長期（現時点で完了時期が未定のもの）,公務員宿舎東雲住宅（仮称）,江東区東雲一,約30000m2,宿舎,H28年度,国,壁面の位置の制限,東雲一丁目地区地区計画
