許可等の種類,関係条文,手数料（円）
敷地と道路との関係の建築許可,第43条第2項第2号,36000
公衆便所等の道路内における建築許可,第44条第1項第2号,36000
公共用歩廊等の道路内建築物の許可,第44条第1項第4号,160000
壁面線外における建築許可,第47条,160000
用途地域における建築等許可,第48条第1項から第14項,180000
用途地域における増築、改築又は移転の特例許可,第48条第16項第1号※建築基準法の一部を改正する法律の施行日（公布から１年以内）から施行,87000
用途地域における建築の特例許可,第48条第16項第2号※建築基準法の一部を改正する法律の施行日（公布から１年以内）から施行,92000
特殊建築物等の敷地の位置の許可,第51条,160000
容積率の特例許可,第52条第10項、第11項、第14項,160000
建ぺい率制限の適用除外等に係る許可,第53条第4項、第5項、第6項第3号※建築基準法の一部を改正する法律の施行日（公布から１年以内）までは第53条第４項、第５項第３号,36000
敷地面積制限の適用除外に係る許可,第53条の2第1項第3号又は第4号,160000
第一種低層住居専用地域又は第二種低層住居専用地域内における建築物の高さ制限の許可,第55条第３項,160000
日影による建築物の高さ制限の特例許可,第56条の2第1項,160000
特例容積率適用地区内における建築物の高さ制限の許可,第57条の4第1項,160000
高度利用地区内における容積率、建ぺい率、建築面積又は壁面の位置の特例許可,第59条第1項第3号,160000
高度利用地区内における建築物の高さ制限の許可,第59条第4項,160000
総合設計制度による容積率及び建築物の高さ制限の許可,第59条の2第1項,160000
都市再生特別地区内の容積率、建ぺい率、建築面積、高さ又は壁面の位置制限の適用除外に係る許可,第60条の2第1項第3号,160000
特定用途誘導地区内の建築物の容積率及び建築面積に関する制限の適用除外に係る許可,第60条の3第1項,160000
特定用途誘導地区内の建築物の高さに関する制限の適用除外に係る許可,第60条の3第2項,160000
特定防災街区整備地区内の敷地面積制限の適用除外に係る許可,第67条第3項第2号※建築基準法の一部を改正する法律の施行日（公布から１年以内）までは第67条の３第３項第２号,160000
特定防災街区整備地区内の壁面の位置制限の適用除外に係る許可,第67条第5項第2号※建築基準法の一部を改正する法律の施行日（公布から１年以内）までは第67条の３第５項第２号,160000
特定防災街区整備地区内の開口率及び高さ制限の適用除外に係る許可,第67条第9項第2号※建築基準法の一部を改正する法律の施行日（公布から１年以内）までは第67条の３第９項第２号,160000
景観地区内における建築物の高さ、壁面の位置又は敷地面積制限の許可,第68条第1項第2号、第2項第2号、第3項第2号,160000
再開発等促進区等内の高さ制限の適用除外に係る許可,第68条の3第4項,160000
高度利用と都市機能の更新とを図る地区計画等の区域内の高さ制限の適用除外に係る許可,第68条の5の3第2項,160000
予定道路に係る容積率の特例の許可,第68条の7第5項,160000
仮設建築物建築許可,第85条第5項,108000
仮設興行場等建築許可,第85条第6項,195000
一団地の総合的設計と総合設計に関する特例の許可,第86条第3項,2棟で238000、3以上の場合2を超える1棟ごとに29000を加算
連担建築物設計と総合設計に関する特例の許可,第86条第4項,1棟（既存以外）で238000、2以上の場合1を超える1棟ごとに29000を加算
一敷地内認定建築物又は一敷地内許可建築物以外の建築に関する特例の許可,第86条の2第2項又は第3項,1棟（一敷地内認定、許可建築物以外）で238000、2以上の場合1を超える1棟ごとに29000を加算
建築物の用途を変更して一時的に興行場等として使用する場合の制限の緩和に係る許可,第87条の3第5項※建築基準法の一部を改正する法律の施行日（公布から１年以内）から施行,108000
建築物の用途を変更して一時的に特別興行場等として使用する場合の制限の緩和に係る許可,第87条の3第6項※建築基準法の一部を改正する法律の施行日（公布から１年以内）から施行,195000
