用途,業務,住宅,その他の用途
防災備蓄倉庫の必要面積,業務の用に供する部分の延べ面積※の0.001倍以上,住宅の用に供する部分の延べ面積※の0.001倍以上,１ｍ2以上
整備位置,いずれの階からも最長歩行距離４層以内に１か所以上,いずれの階からも最長歩行距離２層以内に１か所以上,いずれの階からも最長歩行距離４層以内に１か所以上
