床面積の合計,手数料（円）
30m2以内のもの,11000
30m2を超え、100m2以内のもの,12000
100m2を超え、200m2以内のもの,16000
200m2を超え、500m2以内のもの,23000
"500m2を超え、1,000m2以内のもの",37000
"1,000m2を超え、2,000m2以内のもの",52000
"2,000m2を超え、10,000m2以内のもの",124000
"10,000m2を超え50,000m2以内のもの",199000
"50,000m2を超えるもの",396000
