計画形態,有効係数
(ｱ)中枢広域拠点域内の中核的な拠点地区及び中核的な拠点周辺地区並びに国際ビジネス交流ゾーン内の活力とにぎわいの拠点地区（１）長さが100ｍ以上のもの,2
(ｱ)中枢広域拠点域内の中核的な拠点地区及び中核的な拠点周辺地区並びに国際ビジネス交流ゾーン内の活力とにぎわいの拠点地区（2）長さが80ｍ以上100ｍ未満のもの,1.8
(ｱ)中枢広域拠点域内の中核的な拠点地区及び中核的な拠点周辺地区並びに国際ビジネス交流ゾーン内の活力とにぎわいの拠点地区（3）長さが60ｍ以上80ｍ未満のもの,1.7
(ｱ)中枢広域拠点域内の中核的な拠点地区及び中核的な拠点周辺地区並びに国際ビジネス交流ゾーン内の活力とにぎわいの拠点地区（4）長さが40ｍ以上60ｍ未満のもの,1.5
(ｱ)中枢広域拠点域内の中核的な拠点地区及び中核的な拠点周辺地区並びに国際ビジネス交流ゾーン内の活力とにぎわいの拠点地区（5）長さが20ｍ以上40ｍ未満のもの,1.4
(ｱ)中枢広域拠点域内の中核的な拠点地区及び中核的な拠点周辺地区並びに国際ビジネス交流ゾーン内の活力とにぎわいの拠点地区（6）長さが20ｍ未満のもの,1.2
(ｲ)中枢広域拠点域内の区域（上欄の区域を除く。）（1）長さが100ｍ以上のもの,1.8
(ｲ)中枢広域拠点域内の区域（上欄の区域を除く。）（2）長さが80ｍ以上100ｍ未満のもの,1.7
(ｲ)中枢広域拠点域内の区域（上欄の区域を除く。）（3）長さが60ｍ以上80ｍ未満のもの,1.5
(ｲ)中枢広域拠点域内の区域（上欄の区域を除く。）（4）長さが40ｍ以上60ｍ未満のもの,1.4
(ｲ)中枢広域拠点域内の区域（上欄の区域を除く。）（5）長さが20ｍ以上40ｍ未満のもの,1.2
(ｲ)中枢広域拠点域内の区域（上欄の区域を除く。）（6）長さが20ｍ未満のもの,1.0
(ｳ)その他の区域（1）長さが100ｍ以上のもの,1.7
(ｳ)その他の区域（2）長さが80ｍ以上100ｍ未満のもの,1.5
(ｳ)その他の区域（3）長さが60ｍ以上80ｍ未満のもの,1.4
(ｳ)その他の区域（4）長さが40ｍ以上60ｍ未満のもの,1.2
(ｳ)その他の区域（5）長さが40ｍ未満のもの,1.0
(ｴ)その他の部分,0.8
