活動を行う形態,特徴
任意の市民団体,＊一定の目的を有する人たちが集まり活動する団体です．
特定非営利活動団体（NPO法人）,＊任意団体が、一定の公益に資するサービスの提供を目的に活動する法人格を取得した団体です。対外的に社会的信用が高まり、寄付や助成が受けやすい等のメリッ卜も期待できます．
緑地管理機構,＊NPO法人等で緑の保全活動をしている団体が、市民緑地（※3）の設置や管理、土地の買入れ等、団体がより一層の活動の拡大を図ることを目的とした法に基づく団体です．
