都市施設等の名称,起点,終点
環状第２号線,江東区有明二丁目,港区虎ノ門二丁目
放射第３４号線（晴海通り）,千代田区有楽町一丁目,江東区東雲二丁目
放射第３４号線支線１,中央区晴海二丁目,江東区有明二丁目
