事項,内容
周辺の緑との連続性,近隣の公園や隣接する公開空地等のみどりとの連続性
樹種の多様性,落葉樹・常緑樹のバランスのとれた植栽
既存樹木の保全・活用,既存樹木のうち、健全な樹木の保全・活用
樹高の高い木の植栽,植栽基盤を確保した上での、より樹高の高い木
