,PAL*の低減率,ERR非住宅用途１,ERR非住宅用途２,
特に優れた取組,10%以上,40％以上,30％以上,
特に優れた取組,15%以上,30％以上,25％以上,
特に優れた取組,20%以上,20％以上,20％以上,
優れた取組,10%以上,30%以上,25%以上,
優れた取組,15%以上,20%以上,20%以上,
計画基準,10%以上,20%以上,20%以上,
