床面積の合計,手数料
30m2以内のもの,9900円
30m2を超え、100m2以内のもの,11000円
100m2を超え、200m2以内のもの,15000円
200m2を超え、500m2以内のもの,21000円
"500m2を超え、1,000m2以内のもの",36000円
"1,000m2を超え、2,000m2以内のもの",49000円
"2,000m2を超え、10,000m2以内のもの",115000円
"10,000m2を超え50,000m2以内のもの",186000円
"50,000m2を超えるもの",383000円
