地区,番号,名称,位置,規模,用途,完了時期,事業主体
有明北／豊洲,1/長期（現時点で完了時期が未定のもの）,有明ふ頭公園,江東区有明三,約21000m2,海上公園,,東京都港湾局
有明北／豊洲,2/中期（おおむねH27年度までに完成するもの）,東京臨海広域防災公園,江東区有明二、三,約132000m2/国営約67000m2/都立約65000m2,基幹的広域防災拠点,H23年度,国／東京都
有明北／豊洲,7/長期（現時点で完了時期が未定のもの）,水の広場公園,江東区有明三,約89000m2（うち水域約10000m2）,海上公園,,東京都港湾局
有明北／豊洲,14/長期（現時点で完了時期が未定のもの）,有明北その1緑道公園,江東区有明一,約8000m2,海上公園,,東京都港湾局
有明北／豊洲,15/長期（現時点で完了時期が未定のもの）,有明北その2緑道公園,江東区有明一,約18000m2,海上公園,,東京都港湾局
有明北／豊洲,16/長期（現時点で完了時期が未定のもの）,有明親水海浜公園,江東区有明,約322000m2（うち水域約213000m2）,海上公園,,東京都港湾局
有明北／豊洲,21/短期（おおむねH22年度までに完成するもの）,春海橋公園,江東区豊洲二,約24000m2（うち水域約4000m2）,海上公園,H20年度,東京都港湾局
有明北／豊洲,27/長期（現時点で完了時期が未定のもの）,防潮護岸,江東区豊洲六,,護岸/上部緑化,,東京都港湾局/東京都中央卸売市場
晴海／勝どき,37/中期（おおむねH27年度までに完成するもの）,晴海二丁目/防潮護岸,中央区晴海二,,防潮堤/上部緑化,,東京都港湾局
晴海／勝どき,38/中期（おおむねH27年度までに完成するもの）,晴海四丁目/防潮護岸,中央区晴海四,,防潮堤/上部緑化,H25年度,東京都港湾局
晴海／勝どき,43/短期（おおむねH22年度までに完成するもの）,石川島公園拡張,中央区佃三,約2500m2,公園,H20年度,中央区
晴海／勝どき,45/長期（現時点で完了時期が未定のもの）,,中央区月島,,スーパー堤防/上部緑化,,東京都建設局/中央区
晴海／勝どき,47/長期（現時点で完了時期が未定のもの）,緑地,中央区勝どき五,,上部緑化,,中央区
汐留／新橋虎ノ門,52/短期（おおむねH22年度までに完成するもの）,南桜公園整備（拡張工事）,港区西新橋二丁目10番地13,約2200m2（優先整備区域）,公園,H21年度,港区
