テーマ,モデル地区,コンセブト
1、みどり豊かな広がりのある都市空間,1、みどり豊かな広がりのある都市空間,1、みどり豊かな広がりのある都市空間
(1)快適なみどりの幹線道路,山手通り,つなげる
(2)ゆとりあるみどりの幹線道路,放射第35号線,つなげる
(3)都心のみどりをつなぐ幹線道路,環状第4号線,つなげる
(4)風格のあるみどり豊かな旧街道,人見街道／五日市街道／志木街道,守り育てる
(5)水辺の親しめるみどり豊かな河川と公園,石神井川・東伏見公園,つなげる
(6)河川沿いのみどり豊かな公園緑地,和田堀公園・善福寺川緑地,広げる
(7)鉄道沿線からの森づくり,JR中央・総武線〈四ッ谷駅伺近〉,広げる・守り育てる
2、街並みづくりを誘導する道と川,2、街並みづくりを誘導する道と川,2、街並みづくりを誘導する道と川
(8)洗練された活気ある街並みづくり,明治通り,つなげる・広げる
(9)良好な沿道空間を創出する街並みづくり,府中所沢線〈国分寺地区〉,つなげる・広げる
(10)ゆとりとうるおいのみどり豊かな街並みづくり,放射第7号線・白子川,つなげる・広げる
(11)桜咲く水辺の街並みづくり,目黒川,広げる
(12)川lこ顔を向けだ街並みづくり,一之江境川親水公園,広げる・守り育てる
3、街と自然をつなぐみどりのネットワーク,3、街と自然をつなぐみどりのネットワーク,3、街と自然をつなぐみどりのネットワーク
(13)「海」と「みどり」と「賑わい」のハーモニー,環状第2号線・放射第34号線・浜離宮恩賜庭園・東京臨海広域防災公園・防潮護岸・豊洲新市場等,つなげる・広げる守り育てる
(14)ロードサイドショップ街道と広大な森をつなぐみどりのネットワーク,新青梅街道・八主子武蔵村山線・野山北公園自転車道・野山北・六道山公園・昭和記念公園・残堀川玉川上水,つなげる・広げる・守り育てる
(15)歴史と森をめぐる回遊路,調市保谷線・深太寺通り・神代植物公園,つなげる・広げる守り育てる
