座長,都市整備局都市基盤部街路計画課長,
副座長,都市整備局都市基盤部公園緑地計画担当課長,
知事本局,計画調整部,計画調整課
都市整備局,都市づくり政策部,広域調整課
都市整備局,都市づくり政策部,土地利用計画課
都市整備局,都市づくり政策部,開発プロジェクト推進室
都市整備局,市街地整備部,企画課
都市整備局,市街地整備部,再開発課
都市整備局,市街地整備部,区画整理課
都市整備局,市街地建築部,市街地企画課
都市整備局,第一区画整理事務所,工事課
都市整備局,第二区画整理事務所,工事課
都市整備局,再開発事務所,事業課
建設局,道路建設部,計画課
建設局,道路建設部,街路課
建設局,公園緑地部,計画課
建設局,第一建設事務所,工事課
港湾局,臨海開発部,開発企画課
中央卸売市場,管理部,新市場建設課
下水道局,計画調整部,計画課
中央区,都市整備部,地域整備課
港区,環境・街づくり支援部,都市計画課
江東区,都市整備部,都市計画課
