地区,番号,名称,位置,規模,用途,完了時期,事業主体,みどりに関すること,まちづくりの手法
晴海／勝どき,44/長期（現時点で完了時期が未定のもの）,月島一丁目３、４、５番地区,中央区月島一,,,,,駅前広場（約1200m2）、歩道状空地、緑地帯,市街地再開発事業、月島一丁目３、４、５番地区地区計画
晴海／勝どき,46/短期（おおむねH22年度までに完成するもの）,勝どき駅前地区,中央区勝どき一,約17000m2,住宅、公益、店舗、事務所、駐車場,H22年度,都市再生機構,街区公園（約4700m2）、広場（約1000m2）、歩道状空地,市街地再開発事業、勝どき駅前地区地区計画再開発等促進区
築地／銀座,48/短期（おおむねH22年度までに完成するもの）,,中央区銀座八丁目219番10ほか,約4400m2,事務所(3～21階)文化・交流施設(地下2階～2階),,,公開空地2125.23m2建物低層部の屋上緑化,総合設計事業
汐留／新橋虎ノ門,49/中期（おおむねH27年度までに完成するもの）,汐留地区,港区東新橋一、二、海岸一、浜松町一各地内,,業務、商業、文化、居住施設,H23年度,,区画整理による街路整備（街路樹）,土地区画整理事業、汐留地区地区計画再開発等促進区
汐留／新橋虎ノ門,50/中期（おおむねH27年度までに完成するもの）,環状第二号線新橋・虎ノ門地区,港区新橋四、西新橋二、虎ノ門一、二、三及び愛宕一の各一部,約80000m2（延長約1350m）,店舗・事務所・公益施設・駐車場等,H23年度,東京都都市整備局/東京都建設局,道路を含むオープンスペース,市街地再開発事業、環状第二号線新橋・虎ノ門地区地区計画、道路事業
汐留／新橋虎ノ門,51/長期（現時点で完了時期が未定のもの）,,港区西新橋3-6-1ほか,約1300m2,事務所、共同住宅、店舗,,,公開空地439m2,総合設計事業
