評価,Ａ,Ｂ,Ｃ
建築計画の内容,断熱等性能等級４程度＋優れた取組(1)及び(2),断熱等性能等級４程度＋優れた取組(2),Ａ又はＢ以外
環境性能係数,1.2,1.1,1.0
