想定地震,全壊（棟）,半壊（棟）,計（棟）
東京湾北部地震（マグニチュード7.3）,1134,63045,64179
多摩直下地震（マグニチュード7.3）,817,45428,46245
元禄型関東地震（マグニチュード8.2）,661,36731,37392
立川断層帯地震（マグニチュード7.4）,20,1096,1116
