,PAL*の低減率,ERR
特に優れた取組,10%以上,11％以上
特に優れた取組,15%以上,10.5％以上
特に優れた取組,20%以上,10％以上
優れた取組,10%以上,10.5%以上
優れた取組,15%以上,10%以上
計画基準,10%以上,１0%以上
