市名/ランク,ランクS,ランクA,ランクB,ランクC,ランクD
青梅市,1,3,1,0,5
羽村市,2,9,0,0,1
福生市,3,5,2,0,2
昭島市,2,8,3,0,0
立川市,2,4,1,0,2
国立市,2,4,0,1,4
府中市,2,12,3,0,3
調布市,0,2,2,0,5
合計,14,47,12,1,22
合計面積(ha),8.5,36.7,7.2,0.6,5.0
