評価,Ａ,Ｂ,Ｃ
建築計画の内容,PAL*の低減率10％、ERR20％＋特に優れた取組,PAL*の低減率10％、ERR20％＋優れた取組,Ａ又はＢ以外
環境性能係数,1.3,1.2,1.0
