計画形態,有効係数
(ｱ)屋外貫通通路,0.8
(ｲ)屋内貫通通路(1)景観形成建築物の敷地内で歩行者ネットワークの形成を図る部分,0.5～1.0
(ｲ)屋内貫通通路(2)上欄以外の部分（その規模及び形態に応じて）,0.3～0.8
