指定のメリット/行政,指定のメリット/所有者
＊指定基準がなく、制度を運用しやすいのが特徴です。,＊固定資産税が、最大1/2まで減免されます。
＊土地の買収費用について国からの補助を活用することができます。,＊相続税が、８割評価減になります。
,＊自治体による土地の買収を申し出ることが可能となります。
