床面積の合計,手数料(円)
30m2以内のもの,9900
30m2を超え、100m2以内のもの,11000
100m2を超え、200m2以内のもの,15000
200m2を超え、500m2以内のもの,21000
"500m2を超え、1,000m2以内のもの",34000
"1,000m2を超え、2,000m2以内のもの",46000
"2,000m2を超え、10,000m2以内のもの",104000
"10,000m2を超え50,000m2以内のもの",167000
"50,000m2を超えるもの",341000
