"年月日［西暦］","地区","町丁目","世帯数","人口男［人］","人口女［人］","人口合計［人］"
20160101,"芝地区総合支所管内","芝一丁目",923,767,809,1576
20160101,"芝地区総合支所管内","芝二丁目",1715,1431,1558,2989
20160101,"芝地区総合支所管内","芝三丁目",1956,1630,1791,3421
20160101,"芝地区総合支所管内","芝四丁目",1279,1036,1177,2213
20160101,"芝地区総合支所管内","芝五丁目",1927,1310,1716,3026
20160101,"芝地区総合支所管内","海岸一丁目",1201,1021,943,1964
20160101,"芝地区総合支所管内","東新橋一丁目",715,628,756,1384
20160101,"芝地区総合支所管内","東新橋二丁目",271,229,183,412
20160101,"芝地区総合支所管内","新橋一丁目",12,7,7,14
20160101,"芝地区総合支所管内","新橋二丁目",92,59,80,139
20160101,"芝地区総合支所管内","新橋三丁目",125,150,114,264
20160101,"芝地区総合支所管内","新橋四丁目",322,246,233,479
20160101,"芝地区総合支所管内","新橋五丁目",435,370,334,704
20160101,"芝地区総合支所管内","新橋六丁目",671,540,384,924
20160101,"芝地区総合支所管内","西新橋一丁目",201,169,142,311
20160101,"芝地区総合支所管内","西新橋二丁目",264,202,203,405
20160101,"芝地区総合支所管内","西新橋三丁目",506,327,382,709
20160101,"芝地区総合支所管内","三田一丁目",2230,1972,2317,4289
20160101,"芝地区総合支所管内","三田二丁目",2023,1884,2260,4144
20160101,"芝地区総合支所管内","三田三丁目",917,777,785,1562
20160101,"芝地区総合支所管内","浜松町一丁目",790,770,723,1493
20160101,"芝地区総合支所管内","浜松町二丁目",208,160,153,313
20160101,"芝地区総合支所管内","芝大門一丁目",405,310,358,668
20160101,"芝地区総合支所管内","芝大門二丁目",512,400,435,835
20160101,"芝地区総合支所管内","芝公園一丁目",143,109,108,217
20160101,"芝地区総合支所管内","芝公園二丁目",397,314,302,616
20160101,"芝地区総合支所管内","芝公園三丁目",150,147,146,293
20160101,"芝地区総合支所管内","芝公園四丁目",41,31,26,57
20160101,"芝地区総合支所管内","虎ノ門一丁目",249,219,233,452
20160101,"芝地区総合支所管内","虎ノ門二丁目",22,20,17,37
20160101,"芝地区総合支所管内","虎ノ門三丁目",1001,869,903,1772
20160101,"芝地区総合支所管内","虎ノ門四丁目",346,233,384,617
20160101,"芝地区総合支所管内","虎ノ門五丁目",221,223,237,460
20160101,"芝地区総合支所管内","愛宕一丁目",17,24,20,44
20160101,"芝地区総合支所管内","愛宕二丁目",141,284,231,515
20160201,"芝地区総合支所管内","芝一丁目",941,773,824,1597
20160201,"芝地区総合支所管内","芝二丁目",1722,1440,1563,3003
20160201,"芝地区総合支所管内","芝三丁目",1965,1631,1801,3432
20160201,"芝地区総合支所管内","芝四丁目",1274,1025,1179,2204
20160201,"芝地区総合支所管内","芝五丁目",1927,1314,1719,3033
20160201,"芝地区総合支所管内","海岸一丁目",1212,1037,951,1988
20160201,"芝地区総合支所管内","東新橋一丁目",713,626,754,1380
20160201,"芝地区総合支所管内","東新橋二丁目",279,232,191,423
20160201,"芝地区総合支所管内","新橋一丁目",12,7,7,14
20160201,"芝地区総合支所管内","新橋二丁目",90,58,79,137
