年月,製造工業,鉄鋼業,非鉄金属工業,金属製品工業,汎用・生産用・業務用機械工業,汎用機械工業,生産用機械工業,業務用機械工業,電子部品・デバイス工業,電気機械工業,情報通信機械工業,輸送機械工業,窯業・土石製品工業,化学工業,プラスチック製品工業,紙・紙加工品工業,繊維工業,食料品工業,印刷業,その他工業,ゴム製品工業,皮革製品工業,家具工業,木材・木製品工業,その他製品工業
接続係数,1.226608,1.159936,0.671632,1.264857,1.296825,1.057084,0.949466,2.044603,1.098568,1.076877,1.06342,1.166777,1.405582,1.478049,0.973448,1.060259,1.206996,0.906296,1.313057,1.710352,1.123179,2.401055,1.253333,1.493771,2.092519
2010-01,118.2,112.2,81.5,167.8,131.2,128.9,72.3,245.1,87.2,87,95.5,81.1,103.2,119.6,101.9,89.8,157.4,79.8,177.8,209.3,143.5,496.1,194.5,155.5,179.7
2010-02,130.9,119.1,80.2,183,145,131.6,85,268.5,96.6,99,143.3,96.1,124.4,136.7,121.6,94.6,126,76.3,176.3,223,157.2,507.3,203.9,157.9,199.4
2010-03,162.6,122.1,89.5,199.7,184.8,138.3,125.6,326.9,118.6,166.8,216.4,121.3,149.3,136.6,117,122.8,116,93.2,184.5,267,178.2,524.6,298.7,153,194
2010-04,117.3,118.5,89.7,158.2,135,124.3,93.8,211.6,119.9,65,80.5,79.6,138.4,132.7,105.4,122.8,113.2,94.3,176.7,174.5,173.1,491,115.3,95,189.2
2010-05,114.8,121.1,86.2,176.4,134.4,121.2,98,201.6,113.6,75.4,67.4,72,126.1,114,101.1,120,129.4,88.4,181.3,159.1,152.8,432.7,87.4,96.6,196.1
2010-06,134.2,132.6,90.3,189.2,151.9,126,106.1,250.1,120.6,99.7,99.1,86.7,139.7,151.9,126.6,142.6,123.6,91.4,196.2,189.7,177.7,472.8,105.3,144.1,233.5
2010-07,128.7,125.5,94.8,185.7,153.5,128.5,117.1,227.6,112.1,82.2,96.3,88.2,136.5,161.4,122.8,128.7,117.8,90.1,174.2,187.6,168.5,473.7,95.8,175.2,234.8
2010-08,123,106.9,82.8,158.6,157.8,122.3,122.3,237.8,104.4,95.8,99.5,71.2,128.2,132.9,96.1,82.2,136,87.5,171.1,183.2,154.8,445.6,105.8,150.6,224.3
2010-09,142.4,122.1,80.1,186.6,167.4,130.3,125.9,261.1,113.7,150.3,139.6,91.2,132.1,140.9,115.7,87.2,149.5,89.7,172.5,196.3,173.1,468,109.9,161.3,243.8
2010-10,130.3,125.4,83.8,179,145.8,131.6,96.4,243.5,109.9,92.9,134.6,81.4,139.7,144.8,105.7,135.2,137.7,94.6,173.6,195.8,157.2,446.1,112,125.6,256.1
2010-11,127.2,130.5,83.1,174,146.8,135.4,99.2,237.2,115.1,104,66.5,89,141.7,147.1,121.1,144.1,150.6,89.7,163.3,205.1,152.8,429.3,122.7,132.3,270.8
