年月,製造工業,最終需要財,投資財,資本財,建設財,消費財,耐久消費財,非耐久消費財,生産財,鉱工業用生産財,その他用生産財
接続係数,1.028924,1.00069,0.951178,0.919613,1.03637,1.081312,1.349488,0.873031,1.082535,1.05602,4.006121
2010-01,100,88.9,59.1,49.7,85.1,121.2,139.9,109,124.8,125.9,156.2
2010-02,100.2,88.2,62.2,54.2,84.8,118.7,136.7,109.2,125.5,127.7,151.8
2010-03,102,90.9,65.1,57.7,84.4,119.3,137.2,110.9,124.6,125.2,167.5
2010-04,101.6,90.4,67.7,60.7,85.4,110.1,118.4,112.4,124,125.1,213.1
2010-05,100.4,90.5,67.7,61.7,83.6,116.8,134.3,108.5,120.7,123.6,108.2
2010-06,102.9,95,69,62.1,87.7,123.4,146.4,109,119.1,122.4,88.1
2010-07,100.1,90.7,66.5,58.3,85.3,120.9,150.3,98.6,120.5,123.9,76.9
2010-08,108.7,103.5,71.9,66.6,86.6,139.6,182.6,101.6,121.9,125.1,119.4
2010-09,108.9,102.3,73.1,67.2,87.7,133.8,174.8,99.5,121.9,124.6,131.8
2010-10,108.7,100.9,75.7,70,91.2,126.7,159.1,98.2,122.9,125,191.1
2010-11,107.2,99.6,72.5,64.5,91.9,128.9,163.2,101.6,122.3,122.9,270
2010-12,105.5,96.1,70.1,58.2,93.2,125.9,154.4,105.1,123.5,123.7,278.8
2011-01,109.9,101.3,75.8,68.7,96.5,129.2,159.6,104.2,128.4,127.9,267.2
2011-02,107.3,99.8,80.5,75.9,96.3,124.2,149.5,107,122.7,123.2,247.2
2011-03,107.3,100,81.1,75.9,95.7,122,144.4,108.3,122.7,122.9,185.9
2011-04,108.3,102.7,80.3,74.6,95.6,122.1,144.9,109,120.1,119.6,304.9
2011-05,111.9,105.6,87.4,82.7,100.7,128.1,154.4,110.4,124.7,123.7,385
2011-06,113.3,107.3,91.1,89.5,99.6,126.7,150.6,111.4,125.6,124.6,350.5
2011-07,114.9,107.3,97.9,95.7,101.9,123.4,146.7,109,130.9,130.2,314.1
2011-08,111.7,105.4,91.8,88.2,102.8,124,150.5,103.5,127,127.5,291.6
2011-09,111,103.4,86.2,81.9,96.4,123.4,146.1,110.8,126.2,128.3,183.1
2011-10,111.9,105.3,86.8,82.6,98.4,125,147.6,107.9,123.5,125.8,190.7
2011-11,111.9,104.8,88.5,83.1,100.1,123.2,149.7,104.1,126.2,128.7,182.3
2011-12,113.5,105.2,89.1,81.1,99.2,125.1,151.8,106.2,128.9,130.2,227.5
2012-01,112.6,106,86.5,84.3,96,127.1,153.2,105.3,127.1,127.1,227.9
2012-02,116.8,109.9,93.9,95.3,96.8,131.3,167.3,102.7,130.3,131.3,244
