"年月［西暦］","回収方法","種類","回収量[kg]","対前年同月比[%]"
201504,"集積所回収","資源プラスチック",228980,+1
201504,"集積所回収","古紙",681740,"-"
201504,"集積所回収","びん・缶",359569,+2
201504,"集積所回収","ペットボトル",83050,+13
201504,"拠点回収","紙パック",130,+44
201504,"拠点回収","使用済み乾電池",2037,"-"
201504,"拠点回収","使用済み小型家電製品",145,+14
201504,"拠点回収","古着",2730,+56
201504,"拠点回収","蛍光灯",6,-67
201504,"拠点回収","ペットボトルキャップ",40,+790
201504,"拠点回収","廃食用油",110,"-"
201504,"ピックアップ回収","金属製品等(不燃ごみからの回収)",35220,+24
201504,"ピックアップ回収","コード類(不燃ごみからの回収)",2840,+63
201504,"ピックアップ回収","蛍光灯(不燃ごみからの回収)",997,"-"
201504,"ピックアップ回収","金属製品等(粗大ごみからの回収)",17830,-21
201504,"ピックアップ回収","羽毛ふとん(粗大ごみからの回収)",0,"-"
201504,"ピックアップ回収","ふとん(粗大ごみからの回収)",231,"-"
201505,"集積所回収","資源プラスチック",222790,-1
201505,"集積所回収","古紙",621590,-1
201505,"集積所回収","びん・缶",354832,-3
201505,"集積所回収","ペットボトル",89480,+11
201505,"拠点回収","紙パック",160,+45
201505,"拠点回収","使用済み乾電池",0,"-"
201505,"拠点回収","使用済み小型家電製品",151,+75
201505,"拠点回収","古着",4938,+168
201505,"拠点回収","蛍光灯",5,-38
201505,"拠点回収","ペットボトルキャップ",36,"-"
201505,"拠点回収","廃食用油",0,"-"
201505,"ピックアップ回収","金属製品等(不燃ごみからの回収)",36030,+38
201505,"ピックアップ回収","コード類(不燃ごみからの回収)",2720,+46
201505,"ピックアップ回収","蛍光灯(不燃ごみからの回収)",1125,
201505,"ピックアップ回収","金属製品等(粗大ごみからの回収)",19520,-14
201505,"ピックアップ回収","羽毛ふとん(粗大ごみからの回収)",0,"-"
201505,"ピックアップ回収","ふとん(粗大ごみからの回収)",52,"-"
201506,"集積所回収","資源プラスチック",219040,+4
201506,"集積所回収","古紙",599710,"-"
201506,"集積所回収","びん・缶",355455,+3
201506,"集積所回収","ペットボトル",94180,14
201506,"拠点回収","紙パック",180,-15
201506,"拠点回収","使用済み乾電池",0,"-"
201506,"拠点回収","使用済み小型家電製品",147,75
201506,"拠点回収","古着",3599,127
201506,"拠点回収","蛍光灯",13,85
201506,"拠点回収","ペットボトルキャップ",25,-42
201506,"拠点回収","廃食用油",0,"-"
201506,"ピックアップ回収","金属製品等(不燃ごみからの回収)",40340,56
201506,"ピックアップ回収","コード類(不燃ごみからの回収)",2870,61
201506,"ピックアップ回収","蛍光灯(不燃ごみからの回収)",1980,-3
201506,"ピックアップ回収","金属製品等(粗大ごみからの回収)",18320,-11
201506,"ピックアップ回収","羽毛ふとん(粗大ごみからの回収)",0,"-"
201506,"ピックアップ回収","ふとん(粗大ごみからの回収)",0,"-"
201507,"集積所回収","資源プラスチック",226220,2
201507,"集積所回収","古紙",650620,-2
201507,"集積所回収","びん・缶",376781,4
201507,"集積所回収","ペットボトル",103610,13
201507,"拠点回収","紙パック",190,26
201507,"拠点回収","使用済み乾電池",1750,"-"
201507,"拠点回収","使用済み小型家電製品",148,164
201507,"拠点回収","古着",3150,"-"
201507,"拠点回収","蛍光灯",13,30
201507,"拠点回収","ペットボトルキャップ",0,"-"
201507,"拠点回収","廃食用油",0,"-"
201507,"ピックアップ回収","金属製品等(不燃ごみからの回収)",37940,56
201507,"ピックアップ回収","コード類(不燃ごみからの回収)",3010,78
201507,"ピックアップ回収","蛍光灯(不燃ごみからの回収)",933,25
201507,"ピックアップ回収","金属製品等(粗大ごみからの回収)",16040,-24
201507,"ピックアップ回収","羽毛ふとん(粗大ごみからの回収)",0,"-"
201507,"ピックアップ回収","ふとん(粗大ごみからの回収)",0,"-"
201508,"集積所回収","資源プラスチック",210050,2
