"年度","一般利用者数 各種事業参加者[人]","開館日数[日]"
"2013","43797","345"
"2014","45637","347"
"2015","54462","340"
"2016","58530","344"
"2017","61617","344"

"平成30年度港区行政資料集　施設利用状況一覧 エコプラザ","Ver201803",
