"科目","金額[百万円]"
"年度","2019"
"決算日","20200331"
"資産の部 固定資産","3494779"
"資産の部 固定資産 有形固定資産","3357972"
"資産の部 固定資産 有形固定資産 事業用資産","631260"
"資産の部 固定資産 有形固定資産 事業用資産 土地","424990"
"資産の部 固定資産 有形固定資産 事業用資産 立木竹","-"
"資産の部 固定資産 有形固定資産 事業用資産 建物","339585"
"資産の部 固定資産 有形固定資産 事業用資産 建物減価償却累計額","-143206"
"資産の部 固定資産 有形固定資産 事業用資産 工作物","8358"
"資産の部 固定資産 有形固定資産 事業用資産 工作物減価償却累計額","-4967"
"資産の部 固定資産 有形固定資産 事業用資産 船舶","-"
"資産の部 固定資産 有形固定資産 事業用資産 船舶減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 浮標等","-"
"資産の部 固定資産 有形固定資産 事業用資産 浮標等減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 航空機","-"
"資産の部 固定資産 有形固定資産 事業用資産 航空機減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 その他","-"
"資産の部 固定資産 有形固定資産 事業用資産 その他減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 建設仮勘定","6499"
"資産の部 固定資産 有形固定資産 インフラ資産","2725172"
"資産の部 固定資産 有形固定資産 インフラ資産 土地","2633870"
"資産の部 固定資産 有形固定資産 インフラ資産 建物","1414"
"資産の部 固定資産 有形固定資産 インフラ資産 建物減価償却累計額","-720"
"資産の部 固定資産 有形固定資産 インフラ資産 工作物","105221"
"資産の部 固定資産 有形固定資産 インフラ資産 工作物減価償却累計額","-14612"
"資産の部 固定資産 有形固定資産 インフラ資産 その他","-"
"資産の部 固定資産 有形固定資産 インフラ資産 その他減価償却累計額","-"
"資産の部 固定資産 有形固定資産 インフラ資産 建設仮勘定","-"
"資産の部 固定資産 有形固定資産 物品","4027"
"資産の部 固定資産 有形固定資産 物品減価償却累計額","-2487"
"資産の部 固定資産 無形固定資産","3023"
"資産の部 固定資産 無形固定資産 ソフトウェア","3013"
"資産の部 固定資産 無形固定資産 その他","10"
"資産の部 固定資産 投資その他の資産","133783"
"資産の部 固定資産 投資その他の資産 投資及び出資金","852"
"資産の部 固定資産 投資その他の資産 投資及び出資金 有価証券","293"
"資産の部 固定資産 投資その他の資産 投資及び出資金 出資金","559"
"資産の部 固定資産 投資その他の資産 投資及び出資金 その他","-"
"資産の部 固定資産 投資その他の資産 投資損失引当金","-"
"資産の部 固定資産 投資その他の資産 長期延滞債権","1865"
"資産の部 固定資産 投資その他の資産 長期貸付金","667"
"資産の部 固定資産 投資その他の資産 基金","130622"
"資産の部 固定資産 投資その他の資産 基金 減債基金","-"
"資産の部 固定資産 投資その他の資産 基金 その他","130622"
"資産の部 固定資産 投資その他の資産 その他","-"
"資産の部 固定資産 投資その他の資産 徴収不能引当金","-222"
"資産の部 流動資産","70298"
"資産の部 流動資産 現金預金","16322"
"資産の部 流動資産 未収金","1213"
"資産の部 流動資産 短期貸付金","484"
"資産の部 流動資産 基金","52293"
"資産の部 流動資産 基金 財政調整基金","52293"
"資産の部 流動資産 基金 減債基金","-"
"資産の部 流動資産 棚卸資産","-"
"資産の部 流動資産 その他","-"
"資産の部 流動資産 徴収不能引当金","-13"
"資産の部 資産合計","3565077"
"負債の部 固定負債","16432"
"負債の部 固定負債 地方債","324"
"負債の部 固定負債 長期未払金","2649"
"負債の部 固定負債 退職手当引当金","13459"
"負債の部 固定負債 損失補償等引当金","-"
"負債の部 固定負債 その他","-"
"負債の部 流動負債","8925"
"負債の部 流動負債 1年内償還予定地方債","181"
"負債の部 流動負債 未払金","446"
"負債の部 流動負債 未払費用","-"
"負債の部 流動負債 前受金","-"
"負債の部 流動負債 前受収益","-"
"負債の部 流動負債 賞与等引当金","949"
"負債の部 流動負債 預り金","7349"
"負債の部 流動負債 その他","-"
"負債の部 負債合計","25357"
"純資産の部 固定資産等形成分","3547555"
"純資産の部 余剰分（不足分）","-7835"
"純資産の部 純資産合計","3539720"
"負債及び純資産合計","3565077"

"一般会計財務書類（貸借対照表）(令和2年3月31日現在)","Ver202003"
