規模,和暦年,西暦年,年平均・月・対前年同月比,調査産業計,調査産業計／対前年比・対前年同月比（％）,鉱業，採石業，砂利採取業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成15,2003,年平均,99.8,－,99.6,98.4,96.2,98.6,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,平成16,2004,年平均,99.2,-0.6,101.1,99.6,97.1,99,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均,100,0.8,100,100,100,100,100,100,100,100,－,－,－,－,100,100,100,－
５人以上,平成18,2006,年平均,100.7,0.7,102.4,101.4,100.7,101.6,100.3,96.6,102.7,100.6,－,－,－,－,103.7,99.9,99.5,－
５人以上,平成19,2007,年平均,99.1,-1.6,99.5,100.5,102.5,99.9,99.5,94.7,100,100.1,－,－,－,－,97.6,103.9,95.3,－
５人以上,平成20,2008,年平均,97.4,-1.7,99.9,99.5,102.4,100.1,99.8,94.9,98,101.7,－,－,－,－,88,105.6,98.1,－
５人以上,平成21,2009,年平均,96.4,-1,94.3,97.9,101,99.7,98.2,95,97.7,100.4,－,－,－,－,85,106.5,95.9,－
５人以上,平成21,2009,4月,101.2,0.1,100.3,103.4,107.4,106.1,104.4,99,101.5,107.6,－,－,－,－,91.8,111.3,102.8,－
５人以上,平成21,2009,5月,91.7,-5,83.7,90,93.2,87.3,90.8,91.1,93.5,94.1,－,－,－,－,84.9,104.2,90.5,－
５人以上,平成21,2009,6月,100.9,-0.1,101.3,103.6,106.1,110,102.7,97.9,102.2,105.3,－,－,－,－,97.6,110.3,103.1,－
５人以上,平成21,2009,7月,102.3,0,103.3,105.2,106.7,110.7,106.7,97.9,102.8,109.4,－,－,－,－,90.4,113.1,101.2,－
５人以上,平成21,2009,8月,95.5,1,91.8,95.1,98.5,97.1,99.6,96.3,97.5,101.1,－,－,－,－,65.4,107.4,96.8,－
５人以上,平成21,2009,9月,95,-1.2,89.6,97.6,100.8,94.9,95.3,95.4,97.5,94.7,－,－,－,－,81.3,104.6,87.5,－
５人以上,平成21,2009,10月,96.7,-3.3,97.8,97.2,99.7,104.6,98.4,93.7,96.5,102.5,－,－,－,－,91.5,108.6,99.3,－
５人以上,平成21,2009,11月,96.7,0.8,90.8,100.3,103.9,95.8,95.9,95.7,98.3,97.5,－,－,－,－,86.9,107,95,－
５人以上,平成21,2009,12月,95.7,0.3,88.7,97.4,100.4,94.9,95.6,95.1,98.4,100.8,－,－,－,－,81.1,105.3,96.5,－
５人以上,平成22,2010,1月,90.9,0.9,90.5,90,92.3,94.7,91.3,91,94.2,96.4,－,－,－,－,78.8,103.4,90.5,－
５人以上,平成22,2010,2月,94.2,-0.1,89.6,97.8,101.5,95.7,94.7,93.9,96.7,93.9,－,－,－,－,87.8,103.3,89,－
５人以上,平成22,2010,3月,99.8,3.3,101.8,101.9,103.7,109.3,102.8,96.6,101.1,105.2,－,－,－,－,93.2,112.8,106.1,－
５人以上,平成22,2010,4月,102.2,1,100.6,102.9,108,104,99.7,99.4,104.9,107.9,－,－,－,－,98.5,118.5,105.1,－
５人以上,平成22,2010,4月（対前年同月比（％））,－,－,0.3,-0.5,0.6,-2,-4.5,0.4,3.3,0.3,－,－,－,－,7.3,6.5,2.2,－
30人以上,平成15,2003,年平均,100.2,－,99.4,97.4,95.7,99,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,平成16,2004,年平均,100.9,0.7,101.6,100,97.2,98.6,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,平成17,2005,年平均,100,-0.9,100,100,100,100,100,100,100,100,－,－,－,－,100,100,100,－
30人以上,平成18,2006,年平均,100.8,0.8,101.4,101.8,100.9,100.7,100.8,95.7,103.2,100.5,－,－,－,－,102.6,98.6,99,－
30人以上,平成19,2007,年平均,100,-0.8,98.5,102.5,103.8,99.9,100.8,93.8,100.6,100.5,－,－,－,－,97.9,105.7,92.9,－
30人以上,平成20,2008,年平均,98.5,-1.5,98.9,101.4,104.8,100.3,99.9,94.1,99.4,102.4,－,－,－,－,88.8,104.9,96.7,－
30人以上,平成21,2009,年平均,97.3,-1.2,93.4,98.8,103.2,99,98.3,94.5,99.8,100.9,－,－,－,－,86,104.1,95.3,－
30人以上,平成21,2009,4月,102.2,-0.2,99.3,104.1,109.8,105.5,105,98.1,103.6,108.3,－,－,－,－,92.2,109.3,101.9,－
30人以上,平成21,2009,5月,92.6,-5.5,82.8,91,95.5,85.6,91.1,90.6,95.2,94.7,－,－,－,－,85.7,103.9,89.2,－
30人以上,平成21,2009,6月,102.1,0.5,100.3,104.7,107.6,110.4,102.2,97.1,104.5,105.6,－,－,－,－,99.7,108,102.3,－
30人以上,平成21,2009,7月,104,-0.2,102.2,108.4,110.3,110.9,107.3,97.5,105.6,109.8,－,－,－,－,92.8,109.7,100.8,－
30人以上,平成21,2009,8月,96.3,0.3,90.9,95.6,100.6,97.1,100.1,96.5,99.1,101.9,－,－,－,－,64,104.9,98.4,－
30人以上,平成21,2009,9月,95.1,-1.9,88.7,96.5,101.9,94,95.1,95.3,98.6,95.3,－,－,－,－,80.8,100.6,86.3,－
30人以上,平成21,2009,10月,98.2,-3.5,96.8,98.4,102.3,103.9,98.8,93.4,99.5,102.9,－,－,－,－,93.9,106.7,98.8,－
30人以上,平成21,2009,11月,97,0.9,89.9,100.3,105.6,94.5,95.4,95.5,98.9,98,－,－,－,－,88.8,102.4,96.3,－
30人以上,平成21,2009,12月,96.1,-0.1,87.8,97.9,102.1,93.3,95.7,94.8,100.2,101.1,－,－,－,－,82,101.2,95,－
30人以上,平成22,2010,1月,92,0.1,89.6,91,95.3,93.8,92.1,90.6,95.6,96.6,－,－,－,－,78.9,104.1,90.2,－
30人以上,平成22,2010,2月,93.9,-0.5,88.7,97.4,102,94.7,94.1,92.7,95.7,93.8,－,－,－,－,88.5,99.3,88.1,－
30人以上,平成22,2010,3月,101,3.1,100.8,103.7,106,109.7,103.2,95.4,102.2,105.3,－,－,－,－,94.6,112.1,105.9,－
30人以上,平成22,2010,4月,102.9,0.7,99.6,104.5,110,104,99.1,98.6,105.1,108.3,－,－,－,－,100.7,118.6,104.3,－
30人以上,平成22,2010,4月（対前年同月比（％））,－,－,0.3,0.4,0.2,-1.4,-5.6,0.5,1.4,0,－,－,－,－,9.2,8.5,2.4,－
,,,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年４月分,,,,,,,,,,,,,,,,,,,,,
