区分１,区分２,該当数計,割合計,電話をする該当数,電話をする割合,メールをする該当数,メールをする割合,ＳＮＳ等のコミュニケーションアプリ該当数,ＳＮＳ等のコミュニケーションアプリ割合,動画を見る該当数,動画をみる割合,カメラ撮影該当数,カメラ撮影割合,ゲームをする該当数,ゲームをする割合,音楽を聴く該当数,音楽を聴く割合,インターネット該当数,インターネット割合,その他該当数,その他割合,わからない該当数,わからない割合
全体,全体,1500,100.0,362,24.1,248,16.5,411,27.4,136,9.1,7,0.5,173,11.5,47,3.1,57,3.8,10,0.7,49,3.3
児童・生徒別,小学生,500,100.0,281,56.2,105,21.0,37,7.4,25,5.0,4,0.8,26,5.2,4,0.8,7,1.4,5,1.0,6,1.2
児童・生徒別,中学生,500,100.0,66,13.2,96,19.2,150,30.0,42,8.4,3,0.6,82,16.4,25,5.0,20,4.0,3,0.6,13,2.6
児童・生徒別,高校生,500,100.0,15,3.0,47,9.4,224,44.8,69,13.8,0,0.0,65,13.0,18,3.6,30,6.0,2,0.4,30,6.0
子供の性別,男性,745,100.0,203,27.2,87,11.7,164,22.0,69,9.3,1,0.1,132,17.7,22,3.0,34,4.6,6,0.8,27,3.6
子供の性別,女性,755,100.0,159,21.1,161,21.3,247,32.7,67,8.9,6,0.8,41,5.4,25,3.3,23,3.0,4,0.5,22,2.9
児童・生徒×子供の性別,小学生男子,232,100.0,153,65.9,31,13.4,14,6.0,6,2.6,0,0.0,18,7.8,0,0.0,3,1.3,3,1.3,4,1.7
児童・生徒×子供の性別,小学生女子,268,100.0,128,47.8,74,27.6,23,8.6,19,7.1,4,1.5,8,3.0,4,1.5,4,1.5,2,0.7,2,0.7
児童・生徒×子供の性別,中学生男子,244,100.0,40,16.4,34,13.9,59,24.2,17,7.0,1,0.4,63,25.8,11,4.5,12,4.9,1,0.4,6,2.5
児童・生徒×子供の性別,中学生女子,256,100.0,26,10.2,62,24.2,91,35.5,25,9.8,2,0.8,19,7.4,14,5.5,8,3.1,2,0.8,7,2.7
児童・生徒×子供の性別,高校生男子,269,100.0,10,3.7,22,8.2,91,33.8,46,17.1,0,0.0,51,19.0,11,4.1,19,7.1,2,0.7,17,6.3
児童・生徒×子供の性別,高校生女子,231,100.0,5,2.2,25,10.8,133,57.6,23,10.0,0,0.0,14,6.1,7,3.0,11,4.8,0,0.0,13,5.6
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,944,100.0,259,27.4,164,17.4,238,25.2,83,8.8,4,0.4,104,11.0,25,2.6,30,3.2,8,0.8,29,3.1
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,131,100.0,22,16.8,21,16.0,40,30.5,14,10.7,2,1.5,18,13.7,4,3.1,5,3.8,0,0.0,5,3.8
携帯電話の購入所別,家電量販店,273,100.0,62,22.7,44,16.1,85,31.1,29,10.6,0,0.0,28,10.3,8,2.9,9,3.3,1,0.4,7,2.6
携帯電話の購入所別,インターネット販売,96,100.0,6,6.3,13,13.5,33,34.4,6,6.3,1,1.0,17,17.7,8,8.3,10,10.4,0,0.0,2,2.1
