区分１,区分２,インターネットの危険性について啓発する講演会・イベントの開催（%）
全体,全体,23.9
児童・生徒別,小学生,21.2
児童・生徒別,中学生,25.2
児童・生徒別,高校生,25.4
子どもの性別,男性,23.2
子どもの性別,女性,24.6
フィルタリングサービスの加入状況別,加入している,27.9
フィルタリングサービスの加入状況別,加入していない,24.7
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,20.5
フィルタリングサービスの加入状況別,わからない,17.9
利用制限サービスの加入状況別,加入している,27.6
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,26.2
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,26.1
利用制限サービスの加入状況別,わからない,21.2
