区分１,区分２,該当数計,加入している割合（％）,加入していない割合（％）,インターネットが使えない機種・設定になっている割合（％）,わからない割合（％）
全体,全体,1500,30.6,37.5,16.6,15.3
児童・生徒別,小学生,500,20.6,28.6,40.0,10.8
児童・生徒別,中学生,500,40.6,34.4,8.6,16.4
児童・生徒別,高校生,500,30.6,49.6,1.2,18.6
性別,男子,745,29.5,39.7,15.7,15.0
性別,女子,755,31.7,35.4,17.5,15.5
児童・生徒別／性別,小学生男子,232,22.0,28.0,40.9,9.1
児童・生徒別／性別,小学生女子,268,19.4,29.1,39.2,12.3
児童・生徒別／性別,中学生男子,244,38.5,38.1,7.8,15.6
児童・生徒別／性別,中学生女子,256,42.6,30.9,9.4,17.2
児童・生徒別／性別,高校生男子,269,27.9,51.3,1.1,19.7
児童・生徒別／性別,高校生女子,231,33.8,47.6,1.3,17.3
