区分１,区分２,該当数（人）,携帯電話（ガラホ、ＰＨＳも含む）（％）,スマートフォン（％）,両方持っている（％）
全体,全体,1500,16.3,77.7,5.9
児童・生徒別,小学生,500,15.0,79.0,6.0
児童・生徒別,中学生,500,16.4,76.8,6.8
児童・生徒別,高校生,500,17.6,77.4,5.0
性別,男子,745,15.0,78.5,6.4
性別,女子,755,17.6,77.0,5.4
