その他（主な内容）,件数,（％）
学習、調べもの,4,0.3
緊急時、必要時にのみ使用,2,0.1
漫画、小説を読む,2,0.1
その他の回答（表計算、目覚ましアラーム）,2,0.1
その他　合計,10,0.7
