区分１,区分２,該当数計,相手が誤解しそうな紛らわしい言葉は使わない割合（％）
全体,全体,180,24.4
児童・生徒別,小学生,77,20.8
児童・生徒別,中学生,69,20.3
児童・生徒別,高校生,34,41.2
性別,男子,73,20.5
性別,女子,107,27.1
