区分１,区分２,該当数計,割合計,メール機能該当数,メール機能割合,子供の所在地を検索できる機能該当数,子供の所在地を検索できる機能割合,緊急時に位置情報を知らせてくることができる機能該当数,緊急時に位置情報を知らせてくることができる機能割合,迷惑メール防止機能該当数,迷惑メール防止機能割合,料金上限設定機能該当数,料金上限設定機能割合,非常ブザー等防犯機能該当数,非常ブザー等防犯機能割合,利用時間制限機能該当数,利用時間制限機能割合,通話相手の制限設定機能該当数,通話相手の制限設定機能割合,メール相手の制限設定機能該当数,メール相手の制限設定機能割合,ＳＮＳ監視機能該当数,ＳＮＳ監視機能割合,インターネット機能該当数,インターネット機能割合,その他該当数,その他割合
全体,全体,1500,100.0,714,47.6,890,59.3,879,58.6,795,53.0,747,49.8,461,30.7,538,35.9,347,23.1,351,23.4,506,33.7,273,18.2,22,1.5
児童・生徒別,小学生,500,100.0,263,52.6,368,73.6,326,65.2,262,52.4,271,54.2,210,42.0,188,37.6,177,35.4,175,35.0,200,40.0,96,19.2,6,1.2
児童・生徒別,中学生,500,100.0,240,48.0,297,59.4,294,58.8,280,56.0,251,50.2,141,28.2,191,38.2,105,21.0,109,21.8,192,38.4,94,18.8,6,1.2
児童・生徒別,高校生,500,100.0,211,42.2,225,45.0,259,51.8,253,50.6,225,45.0,110,22.0,159,31.8,65,13.0,67,13.4,114,22.8,83,16.6,10,2.0
子どもの性別,男性,745,100.0,333,44.7,423,56.8,421,56.5,358,48.1,357,47.9,181,24.3,258,34.6,135,18.1,134,18.0,224,30.1,124,16.6,14,1.9
子どもの性別,女性,755,100.0,381,50.5,467,61.9,458,60.7,437,57.9,390,51.7,280,37.1,280,37.1,212,28.1,217,28.7,282,37.4,149,19.7,8,1.1
児童・生徒×子どもの性別,小学生男子,232,100.0,118,50.9,176,75.9,152,65.5,117,50.4,128,55.2,93,40.1,88,37.9,72,31.0,71,30.6,88,37.9,51,22.0,4,1.7
児童・生徒×子どもの性別,小学生女子,268,100.0,145,54.1,192,71.6,174,64.9,145,54.1,143,53.4,117,43.7,100,37.3,105,39.2,104,38.8,112,41.8,45,16.8,2,0.7
児童・生徒×子どもの性別,中学生男子,244,100.0,105,43.0,137,56.1,138,56.6,114,46.7,107,43.9,51,20.9,84,34.4,37,15.2,39,16.0,82,33.6,28,11.5,4,1.6
児童・生徒×子どもの性別,中学生女子,256,100.0,135,52.7,160,62.5,156,60.9,166,64.8,144,56.3,90,35.2,107,41.8,68,26.6,70,27.3,110,43.0,66,25.8,2,0.8
児童・生徒×子どもの性別,高校生男子,269,100.0,110,40.9,110,40.9,131,48.7,127,47.2,122,45.4,37,13.8,86,32.0,26,9.7,24,8.9,54,20.1,45,16.7,6,2.2
