区分１,区分２,該当数計,携帯電話（ガラホ、ＰＨＳキッズケータイも含む）割合（％）,スマートフォン割合（％）,両方利用している割合（％）
全体,全体,1500,34,64.7,1.3
児童・生徒別,小学生,500,73.2,25.8,1
児童・生徒別,中学生,500,24.4,73.4,2.2
児童・生徒別,高校生,500,4.4,95,0.6
性別,男子,745,33.6,65.2,1.2
性別,女子,755,34.4,64.2,1.3
