区分１,区分２,該当数計,ある割合,ない割合,わからない割合
全体,全体,1500,40.4,59.4,0.2
児童・生徒別,小学生,500,16.4,83.6,0.0
児童・生徒別,中学生,500,50.8,48.8,0.4
児童・生徒別,高校生,500,54.0,45.8,0.2
子供の性別,男性,745,43.0,57.0,0.0
子供の性別,女性,755,37.9,61.7,0.4
