区分１,区分２,家庭のルール作りを推進する講座の開催（%）
全体,全体,20.5
児童・生徒別,小学生,22.0
児童・生徒別,中学生,21.8
児童・生徒別,高校生,17.8
子どもの性別,男性,18.5
子どもの性別,女性,22.5
フィルタリングサービスの加入状況別,加入している,22.0
フィルタリングサービスの加入状況別,加入していない,20.6
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,20.1
フィルタリングサービスの加入状況別,わからない,17.9
利用制限サービスの加入状況別,加入している,22.2
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,15.8
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,17.6
利用制限サービスの加入状況別,わからない,22.4
