区分１,区分２,該当数計,ある割合,ない割合,わからない割合
全体,全体,1500,3.8,82.9,13.3
児童・生徒別,小学生,500,4.6,88.6,6.8
児童・生徒別,中学生,500,4.0,80.4,15.6
児童・生徒別,高校生,500,2.8,79.6,17.6
子供の性別,男性,745,5.5,79.6,14.9
子供の性別,女性,755,2.1,86.1,11.8
児童・生徒×子供の性別,小学生男子,232,7.8,84.9,7.3
児童・生徒×子供の性別,小学生女子,268,1.9,91.8,6.3
児童・生徒×子供の性別,中学生男子,244,5.7,76.2,18.0
児童・生徒×子供の性別,中学生女子,256,2.3,84.4,13.3
児童・生徒×子供の性別,高校生男子,269,3.3,78.1,18.6
児童・生徒×子供の性別,高校生女子,231,2.2,81.4,16.5
