区分１,区分２,該当数計,子供の所在地を検索できる機能割合（％）
全体,全体,1500,59.3
児童・生徒別,小学生,500,73.6
児童・生徒別,中学生,500,59.4
児童・生徒別,高校生,500,45.0
性別,男子,745,56.8
性別,女子,755,61.9
