その他（主な内容）,件数,（％）
隠れて使用しているから,4,2.7
子供が言うことをきかない、守らないから,3,2
時間を忘れてしまうから,2,1.4
その他の回答（守らなくても、生活に問題がないため）等,3,0.7
その他　合計,12,8.2
