区分１,区分２,該当数計,子供の所在地がわかるようにするため割合
全体,全体,510,50.2
児童・生徒別,小学生,366,53.0
児童・生徒別,中学生,122,42.6
児童・生徒別,高校生,22,45.5
子供の性別,男性,250,49.6
子供の性別,女性,260,50.8
