区分１,区分２,該当数計,ルールを作っても、守れないから割合（％）
全体,全体,604,19.9
児童・生徒別,小学生,192,10.9
児童・生徒別,中学生,152,27.0
児童・生徒別,高校生,260,22.3
性別,男子,340,21.8
性別,女子,264,17.4
