区分１,区分２,該当数計,割合計,加入している該当数,加入している割合,加入していない該当数,加入していない割合,インターネットが使えない機種・設定になっている該当数,インターネットが使えない機種・設定になっている割合,わからない該当数,わからない割合
全体,全体,1500,100.0,459,30.6,563,37.5,249,16.6,229,15.3
児童・生徒別,小学生,500,100.0,103,20.6,143,28.6,200,40.0,54,10.8
児童・生徒別,中学生,500,100.0,203,40.6,172,34.4,43,8.6,82,16.4
児童・生徒別,高校生,500,100.0,153,30.6,248,49.6,6,1.2,93,18.6
子どもの性別,男性,745,100.0,220,29.5,296,39.7,117,15.7,112,15.0
子どもの性別,女性,755,100.0,239,31.7,267,35.4,132,17.5,117,15.5
児童・生徒×子どもの性別,小学生男子,232,100.0,51,22.0,65,28.0,95,40.9,21,9.1
児童・生徒×子どもの性別,小学生女子,268,100.0,52,19.4,78,29.1,105,39.2,33,12.3
児童・生徒×子どもの性別,中学生男子,244,100.0,94,38.5,93,38.1,19,7.8,38,15.6
児童・生徒×子どもの性別,中学生女子,256,100.0,109,42.6,79,30.9,24,9.4,44,17.2
児童・生徒×子どもの性別,高校生男子,269,100.0,75,27.9,138,51.3,3,1.1,53,19.7
児童・生徒×子どもの性別,高校生女子,231,100.0,78,33.8,110,47.6,3,1.3,40,17.3
携帯電話の購入場所別,各携帯会社の販売店（ドコモショップ等）,944,100.0,305,32.3,330,35.0,165,17.5,144,15.3
携帯電話の購入場所別,全携帯電話等会社の機種を扱う販売代理店,131,100.0,40,30.5,40,30.5,21,16.0,30,22.9
携帯電話の購入場所別,家電量販店,273,100.0,82,30.0,116,42.5,41,15.0,34,12.5
携帯電話の購入場所別,インターネット販売,96,100.0,18,18.8,60,62.5,12,12.5,6,6.3
携帯電話の購入場所別,その他,31,100.0,8,25.8,13,41.9,6,19.4,4,12.9
携帯電話の購入場所別,わからない,25,100.0,6,24.0,4,16.0,4,16.0,11,44.0
フィルタリングサービスの加入状況別,加入している,459,100.0,459,100.0,0,0.0,0,0.0,0,0.0
フィルタリングサービスの加入状況別,加入していない,563,100.0,0,0.0,563,100.0,0,0.0,0,0.0
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,249,100.0,0,0.0,0,0.0,249,100.0,0,0.0
フィルタリングサービスの加入状況別,わからない,229,100.0,0,0.0,0,0.0,0,0.0,229,100.0
利用制限サービスの加入状況別,加入している,261,100.0,200,76.6,35,13.4,7,2.7,19,7.3
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,100.0,79,43.2,74,40.4,6,3.3,24,13.1
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,32,10.1,251,78.9,4,1.3,31,9.7
利用制限サービスの加入状況別,わからない,85,100.0,12,14.1,18,21.2,2,2.4,53,62.4
利用状況の管理状態別,利用状況の把握及び監督もできている,574,100.0,173,30.1,194,33.8,156,27.2,51,8.9
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,674,100.0,252,37.4,253,37.5,69,10.2,100,14.8
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,170,100.0,25,14.7,85,50.0,11,6.5,49,28.8
利用状況の管理状態別,子供の利用状況に関心がない,73,100.0,9,12.3,27,37.0,11,15.1,26,35.6
利用状況の管理状態別,その他,9,100.0,0,0.0,4,44.4,2,22.2,3,33.3
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,558,100.0,190,34.1,208,37.3,100,17.9,60,10.8
説明・学習経験別,インターネットで調べた,505,100.0,179,35.4,203,40.2,78,15.4,45,8.9
説明・学習経験別,学校から配布される資料等を読んだ,543,100.0,205,37.8,188,34.6,93,17.1,57,10.5
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,346,100.0,130,37.6,112,32.4,60,17.3,44,12.7
説明・学習経験別,知識のある知人から説明を受けた,59,100.0,21,35.6,18,30.5,10,16.9,10,16.9
説明・学習経験別,販売店等から詳しく説明を受けた,88,100.0,53,60.2,19,21.6,11,12.5,5,5.7
説明・学習経験別,公共施設などで開催された講座に参加した,21,100.0,10,47.6,3,14.3,3,14.3,5,23.8
説明・学習経験別,特に説明を受けたり学習したことはない,334,100.0,60,18.0,127,38.0,60,18.0,87,26.0
説明・学習経験別,その他,11,100.0,3,27.3,6,54.5,2,18.2,0,0.0
