区分１,区分２,該当数計,携帯電話（ガラホ、ＰＨＳ、キッズケータイを含む）割合,スマートフォン割合,両方利用している割合,両方利用していない割合
全体,全体,2000,23.9,46.5,1.1,28.6
児童・生徒別,小学生低学年,473,29.0,11.6,0.8,58.6
児童・生徒別,小学生高学年,488,46.9,17.8,0.8,34.4
児童・生徒別,中学生,486,18.1,58.8,1.9,21.2
児童・生徒別,高校生,553,4.3,90.6,0.9,4.2
性別,男子,997,22.2,44.8,0.8,32.2
性別,女子,1003,25.6,48.1,1.4,24.9
属性,小学生低学年男子,227,23.3,13.2,0.0,63.4
属性,小学生低学年女子,246,34.1,10.2,1.6,54.1
属性,小学生高学年男子,252,43.3,14.3,0.8,41.7
属性,小学生高学年女子,236,50.8,21.6,0.8,26.7
属性,中学生男子,240,19.2,54.6,2.1,24.2
属性,中学生女子,246,17.1,63.0,1.6,18.3
属性,高校生男子,278,4.7,89.9,0.4,5.0
属性,高校生女子,275,4.0,91.3,1.5,3.3
