区分１,区分２,該当数計,子どもを信用しており不要だから割合
全体,全体,318,58.2
児童・生徒別,小学生,26,61.5
児童・生徒別,中学生,91,59.3
児童・生徒別,高校生,201,57.2
子供の性別,男性,165,55.8
子供の性別,女性,153,60.8
