区分１,区分２,該当数計,内容の説明があり、説明書の交付もあった割合（％）,内容の説明はあったが、説明書は交付はされなかった割合（％）,説明書は交付されたが、内容の説明はなかった割合（％）,内容の説明も、説明書の交付もなかった割合（％）,わからない割合（％）
全体,全体,1500,31.9,18.3,4.6,18.3,26.9
児童・生徒別,小学生,500,29.8,13.6,3.6,20.2,32.8
児童・生徒別,中学生,500,34.4,22.0,4.0,16.4,23.2
児童・生徒別,高校生,500,31.6,19.4,6.2,18.2,24.6
性別,男子,745,29.1,20.3,4.4,19.2,27.0
性別,女子,755,34.7,16.4,4.8,17.4,26.8
