年度,該当数計,子供といつでも連絡が取れるようにするため割合,子供の所在地がわかるようにするため割合,子供にせがまれたため仕方なく持たせた割合,持たせたほうが、メディアリテラシー（＊）や情報処理能力がぐくと思ったため割合,子供の要望ではないが友達が持っており、仲間はずれにされないか心配なため割合,お祝い等で、親戚等からもらったため割合,子供の疾病等があり、大切なコミュニケーション手段として活用するため割合,その他割合
28,510,87.3,50.2,2.7,1.8,1.4,0.6,1.0,5.3
27,654,87.9,48.6,3.7,0.8,2.3,0.3,0.2,4.9
26,725,56.2,45.7,4.7,1.7,3.6,0.4,1.4,5.5
